"Date","Price","Open","High","Low","Change %"
"Jul 01, 2020","134.07","133.85","134.26","132.93","0.16%"
"Jun 30, 2020","133.85","132.29","133.90","132.01","1.18%"
"Jun 29, 2020","132.29","132.23","132.71","131.95","0.03%"
"Jun 26, 2020","132.26","133.16","133.29","132.02","-0.65%"
"Jun 25, 2020","133.12","132.95","133.65","132.79","0.13%"
"Jun 24, 2020","132.95","133.36","133.64","132.67","-0.32%"
"Jun 23, 2020","133.38","133.25","134.01","132.58","0.12%"
"Jun 22, 2020","133.21","132.16","133.45","131.76","0.85%"
"Jun 19, 2020","132.09","132.93","133.26","131.91","-0.62%"
"Jun 18, 2020","132.92","134.37","134.55","132.39","-1.07%"
"Jun 17, 2020","134.36","134.95","135.24","134.07","-0.47%"
"Jun 16, 2020","134.99","135.29","136.38","134.71","-0.20%"
"Jun 15, 2020","135.26","134.53","135.34","133.48","0.47%"
"Jun 12, 2020","134.63","134.65","136.07","133.79","-0.03%"
"Jun 11, 2020","134.67","136.51","136.65","134.45","-1.36%"
"Jun 10, 2020","136.53","137.16","137.43","136.46","-0.43%"
"Jun 09, 2020","137.13","137.96","138.26","136.21","-0.60%"
"Jun 08, 2020","137.96","138.98","139.60","137.42","-0.61%"
"Jun 05, 2020","138.79","137.59","139.76","137.26","0.97%"
"Jun 04, 2020","137.46","136.94","137.82","135.95","0.38%"
"Jun 03, 2020","136.95","136.39","137.41","136.24","0.40%"
"Jun 02, 2020","136.40","134.43","136.54","134.21","1.47%"
"Jun 01, 2020","134.43","133.00","134.56","132.68","0.99%"
"May 29, 2020","133.11","132.62","133.48","131.77","0.35%"
"May 28, 2020","132.64","132.07","132.90","131.82","0.50%"
"May 27, 2020","131.98","132.62","133.02","131.62","-0.50%"
"May 26, 2020","132.63","131.29","133.07","131.19","1.02%"
"May 25, 2020","131.29","131.04","131.43","130.91","0.21%"
"May 22, 2020","131.02","131.54","131.80","130.66","-0.41%"
"May 21, 2020","131.55","131.57","131.98","131.21","-0.05%"
"May 20, 2020","131.62","131.84","132.44","131.43","-0.27%"
"May 19, 2020","131.97","130.89","132.52","130.77","0.84%"
"May 18, 2020","130.87","129.36","131.32","129.29","1.00%"
"May 15, 2020","129.58","131.15","131.43","129.54","-1.20%"
"May 14, 2020","131.15","130.90","131.33","130.13","0.19%"
"May 13, 2020","130.90","131.32","131.97","130.63","-0.36%"
"May 12, 2020","131.37","132.85","132.96","131.29","-1.10%"
"May 11, 2020","132.84","132.32","133.21","131.87","0.36%"
"May 08, 2020","132.36","131.40","132.71","131.27","0.73%"
"May 07, 2020","131.40","130.97","132.04","130.65","0.28%"
"May 06, 2020","131.03","132.57","132.71","130.83","-1.15%"
"May 05, 2020","132.56","132.82","133.20","132.43","-0.20%"
"May 04, 2020","132.83","133.70","133.70","132.51","-0.65%"
"May 01, 2020","133.70","135.04","135.13","133.36","-0.96%"
"Apr 30, 2020","134.99","133.05","135.48","132.65","1.45%"
"Apr 29, 2020","133.06","132.79","133.07","131.93","0.20%"
"Apr 28, 2020","132.79","133.31","133.60","132.71","-0.37%"
"Apr 27, 2020","133.29","133.04","133.60","132.82","0.22%"
"Apr 24, 2020","132.99","132.82","133.17","132.38","0.03%"
"Apr 23, 2020","132.95","132.89","133.71","132.38","0.04%"
"Apr 22, 2020","132.90","132.55","133.33","132.04","0.29%"
"Apr 21, 2020","132.51","133.85","134.09","131.90","-1.00%"
"Apr 20, 2020","133.85","134.27","134.74","133.77","-0.42%"
"Apr 17, 2020","134.42","134.48","135.00","133.88","-0.04%"
"Apr 16, 2020","134.48","134.53","134.90","133.71","-0.04%"
"Apr 15, 2020","134.53","135.35","135.38","133.63","-0.61%"
"Apr 14, 2020","135.35","134.85","135.51","134.57","0.38%"
"Apr 13, 2020","134.85","135.17","135.30","134.50","-0.16%"
"Apr 10, 2020","135.07","135.14","135.46","134.99","-0.05%"
"Apr 09, 2020","135.13","134.77","135.78","134.63","0.24%"
"Apr 08, 2020","134.80","134.17","135.04","133.70","0.53%"
"Apr 07, 2020","134.09","133.60","134.99","132.92","0.37%"
"Apr 06, 2020","133.59","133.04","134.54","132.41","0.44%"
"Apr 03, 2020","133.00","133.77","134.12","132.54","-0.56%"
"Apr 02, 2020","133.75","132.65","133.98","132.51","0.83%"
"Apr 01, 2020","132.65","133.57","133.83","132.48","-0.68%"
"Mar 31, 2020","133.57","133.85","134.64","133.14","-0.25%"
"Mar 30, 2020","133.90","134.32","134.46","132.75","-0.39%"
"Mar 27, 2020","134.43","133.74","134.78","132.13","0.50%"
"Mar 26, 2020","133.75","132.20","133.86","130.54","1.23%"
"Mar 25, 2020","132.13","130.80","133.44","129.86","1.02%"
